Keyword;URL;Fecha;Pais;Categoria;Subcategoria;Personaje;Marca
ajo negro;https://listado.mercadolibre.com.ar/ajo-negro#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
yerba buena gotas;https://listado.mercadolibre.com.ar/yerba-buena-gotas#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
maruchan;https://listado.mercadolibre.com.ar/maruchan#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
pasta de mani;https://listado.mercadolibre.com.ar/pasta-de-mani#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
cafe bonafide;https://listado.mercadolibre.com.ar/cafe-bonafide#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
stevia;https://listado.mercadolibre.com.ar/stevia#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
eritritol;https://listado.mercadolibre.com.ar/eritritol#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
matcha slim;https://listado.mercadolibre.com.ar/matcha-slim#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;slim
aceite de oliva extra virgen;https://listado.mercadolibre.com.ar/aceite-de-oliva-extra-virgen#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;extra
starbucks;https://listado.mercadolibre.com.ar/starbucks#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;starbucks
cafe;https://listado.mercadolibre.com.ar/cafe#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
azucar;https://listado.mercadolibre.com.ar/azucar#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
fideos;https://listado.mercadolibre.com.ar/fideos#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
el portugues;https://listado.mercadolibre.com.ar/el-portugues#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;el
dulce de leche;https://listado.mercadolibre.com.ar/dulce-de-leche#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
azucar en sobres;https://listado.mercadolibre.com.ar/azucar-en-sobres#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
arroz;https://listado.mercadolibre.com.ar/arroz#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
atun;https://listado.mercadolibre.com.ar/atun#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
mani;https://listado.mercadolibre.com.ar/mani#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
mayonesa;https://listado.mercadolibre.com.ar/mayonesa#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
mermelada;https://listado.mercadolibre.com.ar/mermelada#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
vinagre;https://listado.mercadolibre.com.ar/vinagre#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
papas fritas;https://listado.mercadolibre.com.ar/papas-fritas#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
new garden;https://listado.mercadolibre.com.ar/new-garden#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
salsa de tomate;https://listado.mercadolibre.com.ar/salsa-de-tomate#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;tomate
porotos;https://listado.mercadolibre.com.ar/porotos#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
caja chocolatinas 70 cacao sin azucar con stevia;https://listado.mercadolibre.com.ar/caja-chocolatinas-70-cacao-sin-azucar-con-stevia#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
trigo burgol fino;https://listado.mercadolibre.com.ar/trigo-burgol-fino#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
capsulas nespresso;https://listado.mercadolibre.com.ar/capsulas-nespresso#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;nespresso
leche en polvo;https://listado.mercadolibre.com.ar/leche-en-polvo#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
dulces chocolates;https://listado.mercadolibre.com.ar/dulces-chocolates#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
arcor;https://listado.mercadolibre.com.ar/arcor#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
nutella;https://listado.mercadolibre.com.ar/nutella#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;nutella
sin tacc;https://listado.mercadolibre.com.ar/sin-tacc#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
oreo;https://listado.mercadolibre.com.ar/oreo#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;oreo
golosinas;https://listado.mercadolibre.com.ar/golosinas#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
anime;https://listado.mercadolibre.com.ar/anime#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
yerba canarias;https://listado.mercadolibre.com.ar/yerba-canarias#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
aceite;https://listado.mercadolibre.com.ar/aceite#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
matcha;https://listado.mercadolibre.com.ar/matcha#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
chocolate;https://listado.mercadolibre.com.ar/chocolate#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
combo golosinas;https://listado.mercadolibre.com.ar/combo-golosinas#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
te matcha;https://listado.mercadolibre.com.ar/te-matcha#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
cafe en grano;https://listado.mercadolibre.com.ar/cafe-en-grano#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
alfajores;https://listado.mercadolibre.com.ar/alfajores#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
aceite de oliva;https://listado.mercadolibre.com.ar/aceite-de-oliva#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
takis;https://listado.mercadolibre.com.ar/takis#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
oro;https://listado.mercadolibre.com.ar/oro#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
gomitas;https://listado.mercadolibre.com.ar/gomitas#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
yerba;https://listado.mercadolibre.com.ar/yerba#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
erva terere;https://lista.mercadolivre.com.br/erva-terere#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
cha;https://lista.mercadolivre.com.br/cha#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
