Keyword;URL;Fecha;Pais;Categoria;Subcategoria;Personaje;Marca;Semana;Keyword3;Grupo/Empresa/owner derechos;Franquicia;Sub-Franquicia;Contenido;Personaje2
ajo negro;https://listado.mercadolibre.com.ar/ajo-negro#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;ajo negro;;;;;
yerba buena gotas;https://listado.mercadolibre.com.ar/yerba-buena-gotas#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;yerba buena gotas;;;;;
maruchan;https://listado.mercadolibre.com.ar/maruchan#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;maruchan;;;;;
pasta de mani;https://listado.mercadolibre.com.ar/pasta-de-mani#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;pasta de mani;;;;;
cafe bonafide;https://listado.mercadolibre.com.ar/cafe-bonafide#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;cafe bonafide;;;;;
stevia;https://listado.mercadolibre.com.ar/stevia#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;stevia;;;;;
eritritol;https://listado.mercadolibre.com.ar/eritritol#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;eritritol;;;;;
matcha slim;https://listado.mercadolibre.com.ar/matcha-slim#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;Slim;2022-08-22;matcha slim;;;;;
aceite de oliva extra virgen;https://listado.mercadolibre.com.ar/aceite-de-oliva-extra-virgen#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;Extra;2022-08-22;aceite de oliva extra virgen;;;;;
starbucks;https://listado.mercadolibre.com.ar/starbucks#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;Starbucks;2022-08-22;starbucks;;;;;
cafe;https://listado.mercadolibre.com.ar/cafe#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;cafe;;;;;
azucar;https://listado.mercadolibre.com.ar/azucar#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;azucar;;;;;
fideos;https://listado.mercadolibre.com.ar/fideos#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;fideos;;;;;
el portugues;https://listado.mercadolibre.com.ar/el-portugues#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;El;2022-08-22;el portugues;;;;;
azucar en sobres;https://listado.mercadolibre.com.ar/azucar-en-sobres#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;azucar en sobres;;;;;
arroz;https://listado.mercadolibre.com.ar/arroz#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;arroz;;;;;
atun;https://listado.mercadolibre.com.ar/atun#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;atun;;;;;
mani;https://listado.mercadolibre.com.ar/mani#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;mani;;;;;
mayonesa;https://listado.mercadolibre.com.ar/mayonesa#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;mayonesa;;;;;
mermelada;https://listado.mercadolibre.com.ar/mermelada#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;mermelada;;;;;
vinagre;https://listado.mercadolibre.com.ar/vinagre#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;vinagre;;;;;
papas fritas;https://listado.mercadolibre.com.ar/papas-fritas#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;papas fritas;;;;;
new garden;https://listado.mercadolibre.com.ar/new-garden#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;new garden;;;;;
salsa de tomate;https://listado.mercadolibre.com.ar/salsa-de-tomate#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;Tomate;2022-08-22;salsa de tomate;;;;;
porotos;https://listado.mercadolibre.com.ar/porotos#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;porotos;;;;;
caja chocolatinas 70 cacao sin azucar con stevia;https://listado.mercadolibre.com.ar/caja-chocolatinas-70-cacao-sin-azucar-con-stevia#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;caja chocolatinas 70 cacao sin azucar con stevia;;;;;
